cumun,nom_municipi,n_seccions,AMB,Corridor_Besos_Llobregat,Edu_66_10kh,B30,FSM_Valles
08001,Abrera,8,0,0,0,0,0
08002,Aguilar de Segarra,1,0,0,0,0,0
08003,Alella,5,0,0,0,0,0
08004,Alpens,1,0,0,0,0,0
08005,"Ametlla del Vallès, L'",5,0,0,0,0,0
08006,Arenys de Mar,9,0,0,1,0,0
08007,Arenys de Munt,5,0,0,0,0,0
08008,Argençola,1,0,0,0,0,0
08009,Argentona,9,0,0,0,0,0
08010,Artés,4,0,0,0,0,0
08011,Avià,1,0,0,0,0,0
08012,Avinyó,1,0,0,0,0,0
08013,Avinyonet del Penedès,1,0,0,0,0,0
08014,Aiguafreda,1,0,0,0,0,0
08015,Badalona,149,1,1,1,0,0
08016,Bagà,1,0,0,0,0,0
08017,Balenyà,3,0,0,0,0,0
08018,Balsareny,2,0,0,0,0,0
08019,Barcelona,1068,1,1,1,0,0
08020,Begues,3,1,0,0,0,0
08021,Bellprat,1,0,0,0,0,0
08022,Berga,13,0,0,0,0,0
08023,Bigues i Riells del Fai,5,0,0,0,0,0
08024,Borredà,1,0,0,0,0,0
08025,"Bruc, El",1,0,0,0,0,0
08026,"Brull, El",1,0,0,0,0,0
08027,"Cabanyes, Les",1,0,0,0,0,0
08028,Cabrera d'Anoia,1,0,0,0,0,0
08029,Cabrera de Mar,2,0,0,0,0,0
08030,Cabrils,3,0,0,0,0,0
08031,Calaf,2,0,0,0,0,0
08032,Caldes d'Estrac,2,0,0,0,0,0
08033,Caldes de Montbui,10,0,0,0,0,0
08034,Calders,1,0,0,0,0,0
08035,Calella,9,0,0,1,0,0
08036,Calonge de Segarra,1,0,0,0,0,0
08037,Calldetenes,1,0,0,0,0,0
08038,Callús,1,0,0,0,0,0
08039,Campins,1,0,0,0,0,0
08040,Canet de Mar,10,0,0,1,0,0
08041,Canovelles,8,0,0,1,0,1
08042,Cànoves i Samalús,2,0,0,0,0,0
08043,Canyelles,3,0,0,0,0,0
08044,Capellades,3,0,0,0,0,0
08045,Capolat,1,0,0,0,0,0
08046,Cardedeu,10,0,0,1,0,1
08047,Cardona,4,0,0,0,0,0
08048,Carme,1,0,0,0,0,0
08049,Casserres,1,0,0,0,0,0
08050,Castellar del Riu,1,0,0,0,0,0
08051,Castellar del Vallès,14,0,0,0,1,0
08052,Castellar de n'Hug,1,0,0,0,0,0
08053,Castellbell i el Vilar,2,0,0,0,0,0
08054,Castellbisbal,6,0,0,0,1,0
08055,Castellcir,1,0,0,0,0,0
08056,Castelldefels,37,1,0,1,0,0
08057,Castell de l'Areny,1,0,0,0,0,0
08058,Castellet i la Gornal,1,0,0,0,0,0
08059,Castellfollit del Boix,1,0,0,0,0,0
08060,Castellfollit de Riubregós,1,0,0,0,0,0
08061,Castellgalí,1,0,0,0,0,0
08062,Castellnou de Bages,1,0,0,0,0,0
08063,Castellolí,1,0,0,0,0,0
08064,Castellterçol,2,0,0,0,0,0
08065,Castellví de la Marca,1,0,0,0,0,0
08066,Castellví de Rosanes,1,0,0,0,0,0
08067,Centelles,4,0,0,0,0,0
08068,Cervelló,5,1,0,0,0,0
08069,Collbató,3,0,0,0,0,0
08070,Collsuspina,1,0,0,0,0,0
08071,Copons,1,0,0,0,0,0
08072,Corbera de Llobregat,11,1,0,0,0,0
08073,Cornellà de Llobregat,66,1,1,1,0,0
08074,Cubelles,10,0,0,0,0,0
08075,Dosrius,3,0,0,0,0,0
08076,Esparreguera,11,0,0,0,0,0
08077,Esplugues de Llobregat,28,1,1,1,0,0
08078,"Espunyola, L'",1,0,0,0,0,0
08079,"Estany, L'",1,0,0,0,0,0
08080,Fígols,1,0,0,0,0,0
08081,Fogars de Montclús,1,0,0,0,0,0
08082,Fogars de la Selva,1,0,0,0,0,0
08083,Folgueroles,1,0,0,0,0,0
08084,Fonollosa,1,0,0,0,0,0
08085,Font-rubí,1,0,0,0,0,0
08086,"Franqueses del Vallès, Les",11,0,0,1,0,1
08087,Gallifa,1,0,0,0,0,0
08088,"Garriga, La",10,0,0,0,0,0
08089,Gavà,29,1,0,1,0,0
08090,Gaià,1,0,0,0,0,0
08091,Gelida,3,0,0,0,0,0
08092,Gironella,3,0,0,0,0,0
08093,Gisclareny,1,0,0,0,0,0
08094,"Granada, La",1,0,0,0,0,0
08095,Granera,1,0,0,0,0,0
08096,Granollers,35,0,0,1,1,1
08097,Gualba,1,0,0,0,0,0
08098,Sant Salvador de Guardiola,2,0,0,0,0,0
08099,Guardiola de Berguedà,1,0,0,0,0,0
08100,Gurb,2,0,0,0,0,0
08101,"Hospitalet de Llobregat, L'",197,1,1,1,0,0
08102,Igualada,25,0,0,1,0,0
08103,Jorba,1,0,0,0,0,0
08104,"Llacuna, La",1,0,0,0,0,0
08105,"Llagosta, La",9,0,0,1,0,1
08106,Llinars del Vallès,6,0,0,0,0,0
08107,Lliçà d'Amunt,10,0,0,0,0,0
08108,Lliçà de Vall,4,0,0,0,0,0
08109,Lluçà,1,0,0,0,0,0
08110,Malgrat de Mar,9,0,0,1,0,0
08111,Malla,1,0,0,0,0,0
08112,Manlleu,12,0,0,1,0,0
08113,Manresa,52,0,0,1,0,0
08114,Martorell,15,0,0,1,1,0
08115,Martorelles,3,1,0,0,0,0
08116,"Masies de Roda, Les",1,0,0,0,0,0
08117,"Masies de Voltregà, Les",2,0,0,0,0,0
08118,"Masnou, El",14,0,0,0,0,0
08119,Masquefa,6,0,0,0,0,0
08120,Matadepera,4,0,0,0,0,0
08121,Mataró,75,0,0,1,0,0
08122,Mediona,1,0,0,0,0,0
08123,Molins de Rei,12,1,0,0,0,0
08124,Mollet del Vallès,31,1,0,1,1,1
08125,Montcada i Reixac,22,1,0,1,0,0
08126,Montgat,4,1,0,0,0,0
08127,Monistrol de Montserrat,2,0,0,0,0,0
08128,Monistrol de Calders,1,0,0,0,0,0
08129,Muntanyola,1,0,0,0,0,0
08130,Montclar,1,0,0,0,0,0
08131,Montesquiu,1,0,0,0,0,0
08132,Montmajor,1,0,0,0,0,0
08133,Montmaneu,1,0,0,0,0,0
08134,Figaró-Montmany,1,0,0,0,0,0
08135,Montmeló,7,0,0,1,1,1
08136,Montornès del Vallès,10,0,0,1,1,1
08137,Montseny,1,0,0,0,0,0
08138,Moià,3,0,0,0,0,0
08139,Mura,1,0,0,0,0,0
08140,Navarcles,3,0,0,0,0,0
08141,Navàs,4,0,0,0,0,0
08142,"Nou de Berguedà, La",1,0,0,0,0,0
08143,Òdena,2,0,0,0,0,0
08144,Olvan,1,0,0,0,0,0
08145,Olèrdola,2,0,0,0,0,0
08146,Olesa de Bonesvalls,2,0,0,0,0,0
08147,Olesa de Montserrat,12,0,0,1,0,0
08148,Olivella,2,0,0,0,0,0
08149,Olost,1,0,0,0,0,0
08150,Orís,1,0,0,0,0,0
08151,Oristà,1,0,0,0,0,0
08152,Orpí,1,0,0,0,0,0
08153,Òrrius,1,0,0,0,0,0
08154,Pacs del Penedès,1,0,0,0,0,0
08155,Palafolls,6,0,0,0,0,0
08156,Palau-solità i Plegamans,9,0,0,1,1,0
08157,Pallejà,5,1,0,0,0,0
08158,"Papiol, El",2,1,0,0,1,0
08159,Parets del Vallès,11,0,0,0,1,1
08160,Perafita,1,0,0,0,0,0
08161,Piera,9,0,0,0,0,0
08162,"Hostalets de Pierola, Els",1,0,0,0,0,0
08163,Pineda de Mar,14,0,0,1,0,0
08164,"Pla del Penedès, El",1,0,0,0,0,0
08165,"Pobla de Claramunt, La",1,0,0,0,0,0
08166,"Pobla de Lillet, La",1,0,0,0,0,0
08167,Polinyà,5,0,0,0,1,0
08168,Pontons,1,0,0,0,0,0
08169,"Prat de Llobregat, El",40,1,1,1,0,0
08170,"Prats de Rei, Els",1,0,0,0,0,0
08171,Prats de Lluçanès,2,0,0,0,0,0
08172,Premià de Mar,16,0,0,1,0,0
08174,Puigdàlber,1,0,0,0,0,0
08175,Puig-reig,3,0,0,0,0,0
08176,Pujalt,1,0,0,0,0,0
08177,"Quar, La",1,0,0,0,0,0
08178,Rajadell,1,0,0,0,0,0
08179,Rellinars,1,0,0,0,0,0
08180,Ripollet,20,1,0,1,1,0
08181,"Roca del Vallès, La",5,0,0,1,1,0
08182,"Pont de Vilomara i Rocafort, El",2,0,0,0,0,0
08183,Roda de Ter,4,0,0,0,0,0
08184,Rubí,42,0,0,1,1,0
08185,Rubió,1,0,0,0,0,0
08187,Sabadell,158,0,0,1,1,0
08188,Sagàs,1,0,0,0,0,0
08189,Sant Pere Sallavinera,1,0,0,0,0,0
08190,Saldes,1,0,0,0,0,0
08191,Sallent,5,0,0,0,0,0
08192,Santpedor,4,0,0,0,0,0
08193,Sant Iscle de Vallalta,1,0,0,0,0,0
08194,Sant Adrià de Besòs,23,1,1,1,0,0
08195,Sant Agustí de Lluçanès,1,0,0,0,0,0
08196,Sant Andreu de la Barca,14,1,0,1,0,0
08197,Sant Andreu de Llavaneres,6,0,0,0,0,0
08198,Sant Antoni de Vilamajor,4,0,0,0,0,0
08199,Sant Bartomeu del Grau,1,0,0,0,0,0
08200,Sant Boi de Llobregat,50,1,0,1,0,0
08201,Sant Boi de Lluçanès,1,0,0,0,0,0
08202,Sant Celoni,10,0,0,0,0,0
08203,Sant Cebrià de Vallalta,2,0,0,0,0,0
08204,Sant Climent de Llobregat,2,1,0,0,0,0
08205,Sant Cugat del Vallès,52,1,0,1,1,0
08206,Sant Cugat Sesgarrigues,1,0,0,0,0,0
08207,Sant Esteve de Palautordera,2,0,0,0,0,0
08208,Sant Esteve Sesrovires,5,0,0,0,0,0
08209,Sant Fost de Campsentelles,4,0,0,0,0,0
08210,Sant Feliu de Codines,4,0,0,0,0,0
08211,Sant Feliu de Llobregat,31,1,0,1,0,0
08212,Sant Feliu Sasserra,1,0,0,0,0,0
08213,Sant Fruitós de Bages,6,0,0,1,0,0
08214,Vilassar de Dalt,6,0,0,1,0,0
08215,Sant Hipòlit de Voltregà,3,0,0,0,0,0
08216,Sant Jaume de Frontanyà,1,0,0,0,0,0
08217,Sant Joan Despí,24,1,1,1,0,0
08218,Sant Joan de Vilatorrada,5,0,0,1,0,1
08219,Vilassar de Mar,15,0,0,1,0,0
08220,Sant Julià de Vilatorta,2,0,0,0,0,0
08221,Sant Just Desvern,10,1,0,1,0,0
08222,Sant Llorenç d'Hortons,1,0,0,0,0,0
08223,Sant Llorenç Savall,1,0,0,0,0,0
08224,Sant Martí de Centelles,1,0,0,0,0,0
08225,Sant Martí d'Albars,1,0,0,0,0,0
08226,Sant Martí de Tous,1,0,0,0,0,0
08227,Sant Martí Sarroca,2,0,0,0,0,0
08228,Sant Martí Sesgueioles,1,0,0,0,0,0
08229,Sant Mateu de Bages,1,0,0,0,0,0
08230,Premià de Dalt,6,0,0,0,0,0
08231,Sant Pere de Ribes,17,0,0,1,0,0
08232,Sant Pere de Riudebitlles,1,0,0,0,0,0
08233,Sant Pere de Torelló,2,0,0,0,0,0
08234,Sant Pere de Vilamajor,3,0,0,0,0,0
08235,Sant Pol de Mar,3,0,0,1,0,0
08236,Sant Quintí de Mediona,1,0,0,0,0,0
08237,Sant Quirze de Besora,2,0,0,0,0,0
08238,Sant Quirze del Vallès,12,0,0,1,1,0
08239,Sant Quirze Safaja,1,0,0,0,0,0
08240,Sant Sadurní d'Anoia,8,0,0,1,0,0
08241,Sant Sadurní d'Osormort,1,0,0,0,0,0
08242,Marganell,1,0,0,0,0,0
08243,Santa Cecília de Voltregà,1,0,0,0,0,0
08244,Santa Coloma de Cervelló,5,1,0,0,0,0
08245,Santa Coloma de Gramenet,88,1,1,1,0,0
08246,Santa Eugènia de Berga,1,0,0,0,0,0
08247,Santa Eulàlia de Riuprimer,1,0,0,0,0,0
08248,Santa Eulàlia de Ronçana,4,0,0,0,0,0
08249,Santa Fe del Penedès,1,0,0,0,0,0
08250,Santa Margarida de Montbui,7,0,0,0,0,0
08251,Santa Margarida i els Monjos,4,0,0,0,0,0
08252,Barberà del Vallès,23,1,0,1,1,0
08253,Santa Maria de Besora,1,0,0,0,0,0
08254,"Esquirol, L'",1,0,0,0,0,0
08255,Santa Maria de Merlès,1,0,0,0,0,0
08256,Santa Maria de Martorelles,1,1,0,0,0,0
08257,Santa Maria de Miralles,1,0,0,0,0,0
08258,Santa Maria d'Oló,1,0,0,0,0,0
08259,Santa Maria de Palautordera,4,0,0,0,0,0
08260,Santa Perpètua de Mogoda,16,0,0,1,1,1
08261,Santa Susanna,2,0,0,0,0,0
08262,Sant Vicenç de Castellet,5,0,0,0,0,0
08263,Sant Vicenç dels Horts,20,0,0,1,0,0
08264,Sant Vicenç de Montalt,4,0,0,0,0,0
08265,Sant Vicenç de Torelló,1,0,0,0,0,0
08266,Cerdanyola del Vallès,34,1,0,1,1,0
08267,Sentmenat,5,0,0,1,0,0
08268,Cercs,1,0,0,0,0,0
08269,Seva,2,0,0,0,0,0
08270,Sitges,16,0,0,0,0,0
08271,Sobremunt,1,0,0,0,0,0
08272,Sora,1,0,0,0,0,0
08273,Subirats,3,0,0,0,0,0
08274,Súria,4,0,0,1,0,0
08275,Tavèrnoles,1,0,0,0,0,0
08276,Tagamanent,1,0,0,0,0,0
08277,Talamanca,1,0,0,0,0,0
08278,Taradell,4,0,0,0,0,0
08279,Terrassa,141,0,0,1,1,0
08280,Tavertet,1,0,0,0,0,0
08281,Teià,3,0,0,0,0,0
08282,Tiana,5,1,0,0,0,0
08283,Tona,4,0,0,0,0,0
08284,Tordera,7,0,0,1,0,0
08285,Torelló,8,0,0,1,0,0
08286,"Torre de Claramunt, La",2,0,0,0,0,0
08287,Torrelavit,1,0,0,0,0,0
08288,Torrelles de Foix,1,0,0,0,0,0
08289,Torrelles de Llobregat,4,1,0,0,0,0
08290,Ullastrell,1,0,0,0,0,0
08291,Vacarisses,4,0,0,1,0,0
08292,Vallbona d'Anoia,1,0,0,0,0,0
08293,Vallcebre,1,0,0,0,0,0
08294,Vallgorguina,2,0,0,0,0,0
08295,Vallirana,10,0,0,1,0,0
08296,Vallromanes,1,0,0,0,0,0
08297,Veciana,1,0,0,0,0,0
08298,Vic,24,0,0,1,0,0
08299,Vilada,1,0,0,0,0,0
08300,Viladecavalls,5,0,0,0,0,0
08301,Viladecans,49,1,0,1,0,0
08302,Vilanova del Camí,7,0,0,0,0,0
08303,Vilanova de Sau,1,0,0,0,0,0
08304,Vilobí del Penedès,1,0,0,0,0,0
08305,Vilafranca del Penedès,22,0,0,1,0,0
08306,Vilalba Sasserra,1,0,0,0,0,0
08307,Vilanova i la Geltrú,40,0,0,1,0,0
08308,Viver i Serrateix,1,0,0,0,0,0
08901,Rupit i Pruit,1,0,0,0,0,0
08902,Vilanova del Vallès,3,0,0,0,1,0
08903,Sant Julià de Cerdanyola,1,0,0,0,0,0
08904,Badia del Vallès,12,1,0,1,1,0
08905,"Palma de Cervelló, La",2,0,0,0,0,0
